问题,回答
LiFePO4 是什么？,LiFePO4是一种磷酸铁锂正极材料。
LFP 指什么？,LFP 通常指 lithium iron phosphate。
"LiFePO4 常用于哪里？
",常用于动力电池和储能电池。
NCM是什么正极材料？,NCM是镍钴锰三元锂电池正极材料。
无机缓蚀剂包含哪些常见材料？,包含铬酸盐、亚硝酸盐、硅酸盐等无机化合物。
影响畴结构的因素有哪些？,烧结温度，冷却速率（马弗炉冷却，焦耳热快散），烧结方式
畴结构对热障性能有什么影响？,畴结构会影响声子，声子影响热导率等，进而调控热障性能
气凝胶是什么？,气凝胶是一类通过溶胶-凝胶法结合特殊干燥工艺制备的纳米级多孔固态材料。
气凝胶常用于哪里？,常用于航空航天、国防军工等尖端领域。
形状记忆合金是什么？,形状记忆合金是通过热弹性与马氏体相变及其逆变而具有形状记忆的由两种以上金属元素所构成的材料。
SMA指什么？,SMA通常指shape memory alloys。
形状记忆合金常用于哪里？,常用于航空航天、机械电子、生物医疗、桥梁建筑、汽车工业及日常生活等多个领域。
ABF积层胶膜是什么？,ABF积层胶膜是芯片封装基板中的绝缘材料，用于铺设高密度电路，保证高速信号传输。
MOF是什么材料？,MOF是金属有机框架多孔晶体功能材料。
ZIF是什么材料？,ZIF是沸石咪唑酯骨架材料，属于MOF分支。
石墨烯的结构维度与材料类别？,石墨烯是典型单原子层二维碳纳米功能材料。
二维光电器件常用TMDs材料属于哪一类前沿材料？,TMDs是层状过渡金属硫族化合物二维半导体材料。
受拓扑保护、无散射导电表面态的量子材料统称是什么？,拓扑绝缘体，一类特殊拓扑结构电子功能材料。
MOF材料最标志性的理化性能是什么？,MOF具有超高比表面积、可精准调控孔径、结构可设计、孔隙结构有序可调。
卤化钙钛矿材料存在哪些固有性能缺陷？,水氧稳定性差、易发生离子迁移、含铅体系存在毒性问题。
可降解PLA高分子的典型应用场景有哪些？,一次性环保塑料、医用可吸收缝合线、骨科植入支架、药物缓释载体。
光学超材料拥有哪些天然材料不存在的特殊性能？,可实现负折射率、完美吸波、超常透镜成像等违背常规材料物理规律的特性。
电磁超材料主要应用在哪些装备与器件？,雷达隐身涂层、超透镜光学器件、声学降噪设备、电磁波调控器件。
水凝胶泡沫是什么？,水凝胶泡沫是一种含有多孔结构的高分子水凝胶材料。
水凝胶泡沫有什么特点？,水凝胶泡沫具备多孔、高吸水、质轻以及良好生物相容性等特点。
水凝胶泡沫常用于哪里？,水凝胶泡沫常用于伤口敷料、水处理吸附、柔性传感、隔热缓冲等领域。
胶体金是什么？,胶体金是纳米级金颗粒均匀分散在水中形成的稳定胶体溶液。
胶体金有哪些用途？,胶体金可用于新冠、流感、甲流抗原检测，毒品检测、幽门螺杆菌、乙肝快速筛查等。
IIR指什么？,IIR通常指Isobutylene Isoprene Rubber
IIR有什么性质？,IIR具有极好的气密性和耐酸碱性
IIR常用于哪里？,常用于轮胎内胎和储气罐内衬
碳纳米管（CNTs）是什么材料？,一维纳米碳材料，由石墨烯片卷绕成中空管状结构，分为单壁、多壁碳纳米管。
什么是钙钛矿？,"""钙钛矿""原先是指一种天然的矿物，主要成分为“CaTiO3”,在光电器件领域用于指一类与该天然矿物晶体结构相似的材料。其通用分子式为ABX_3。B离子填充在六个X离子组成的八面体结构中，形成一种由 BX_6 八面体共享顶角构成的三维网络，A 位离子填充在由这些八面体组成的十二面体空腔中。"
钛合金TC4的主要合金元素及含量？,TC4含有6%的铝和4%的钒，属于α+β型两相钛合金。
